Sentiment Compound Score,Sentiment Negative Score,Sentiment Neutral Score,Sentiment Positive Score,Source Account,Tweet Date,Tweet Text,Tweets Ago
0.3612,0.0,0.878,0.122,@FoxNews,Mon Apr 09 04:10:00 +0000 2018,North Korea has told the @realDonaldTrump administration that Kim Jong Un is ready to discuss denuclearization of t… https://t.co/bCB1FuEnHE,1
0.4939,0.0,0.873,0.127,@FoxNews,Mon Apr 09 04:05:00 +0000 2018,"Rain or shine, soldiers keep watch over the Tomb of the Unknown Soldier to honor the service members who made the u… https://t.co/YCGkAOVmC2",2
0.3818,0.0,0.885,0.115,@FoxNews,Mon Apr 09 04:00:01 +0000 2018,".@FrankLuntz: ""It's [@POTUS's] own tweets that are causing so much of the trouble... He should be focused on the ec… https://t.co/57MKdp2BRb",3
0.0,0.0,1.0,0.0,@FoxNews,Mon Apr 09 03:58:00 +0000 2018,".@kdeleon: ""This President, @realDonaldTrump, and this Attorney General, Jeff Sessions - their policies are driven… https://t.co/11Iqe6IHtC",4
-0.296,0.099,0.901,0.0,@FoxNews,Mon Apr 09 03:57:00 +0000 2018,".@RepMcCaul: ""When the drug cartel sees our military down there, it's going to stop them before they can get in."" https://t.co/0c4FEiQiJn",5
0.5719,0.0,0.821,0.179,@FoxNews,Mon Apr 09 03:50:00 +0000 2018,".@SarahPalinUSA: ""This is unprecedented— all those elements of a perfect storm against the will of the people havin… https://t.co/nar1gngbbn",6
0.0,0.0,1.0,0.0,@FoxNews,Mon Apr 09 03:42:00 +0000 2018,Moose kicks man in Alaska -- after he kicked first https://t.co/Gxun8jLsu5,7
0.2263,0.0,0.863,0.137,@FoxNews,Mon Apr 09 03:36:00 +0000 2018,'A Quiet Place' surprises with second-biggest opening of 2018 behind 'Black Panther' https://t.co/TzesDpbKlU,8
0.4019,0.0,0.769,0.231,@FoxNews,Mon Apr 09 03:28:00 +0000 2018,".@TGowdySC: ""I think we could see a [second] special counsel."" https://t.co/ZmoH6aaa3i",9
0.0,0.0,1.0,0.0,@FoxNews,Mon Apr 09 03:26:00 +0000 2018,"On @foxandfriends,"" @TheRealJohnHCox, the leading Republican candidate for governor of California, talked about the… https://t.co/pXELTL5glS",10
0.0,0.0,1.0,0.0,@FoxNews,Mon Apr 09 03:20:00 +0000 2018,"On @foxandfriends, @JudicialWatch President @TomFitton said that @AGLynch needs to be candid about the infamous tar… https://t.co/ECWHE4oBWx",11
-0.4019,0.278,0.722,0.0,@FoxNews,Mon Apr 09 03:15:00 +0000 2018,Injuries in human-smuggling crash on California highway https://t.co/fEmixKpCEP,12
0.4336,0.0,0.869,0.131,@FoxNews,Mon Apr 09 03:08:00 +0000 2018,".@kdeleon: ""Sending military men and women who are highly trained to protect Americans, not just on American soil b… https://t.co/am4bF8veuM",13
-0.4137,0.116,0.884,0.0,@FoxNews,Mon Apr 09 03:00:01 +0000 2018,".@JudgeJeanine: ""Who do we blame for the repeated trashing of @FLOTUS? Why is it open season on the First Family? W… https://t.co/SMfg3TK3rr",14
0.3818,0.0,0.852,0.148,@FoxNews,Mon Apr 09 02:59:33 +0000 2018,".@SarahPalinUSA: ""We have every...God-given right that's codified in our Bill of Rights to protect ourselves."" https://t.co/Zh2NvfKeZ5",15
-0.9277,0.431,0.569,0.0,@FoxNews,Mon Apr 09 02:53:59 +0000 2018,".@SarahPalinUSA: ""I see that war does to an individual, to a family. War is hell, and I don't want America to go to… https://t.co/yyYxr9skZ7",16
0.7783,0.0,0.657,0.343,@FoxNews,Mon Apr 09 02:52:00 +0000 2018,"On @foxandfriends, @cvpayne praised President @realDonaldTrump's economic policies and their positive results for A… https://t.co/L2kfZR7PAJ",17
0.5719,0.0,0.793,0.207,@FoxNews,Mon Apr 09 02:48:16 +0000 2018,".@SarahPalinUSA: ""It was past agendas that were based on special interests that have gotten us into the pickle that… https://t.co/cTWs6zqZN6",18
0.0,0.0,1.0,0.0,@FoxNews,Mon Apr 09 02:42:29 +0000 2018,".@SarahPalinUSA: ""[President @realDonaldTrump] was adamant about doing things different in the campaign, and that's… https://t.co/EK2RMKIQX5",19
-0.2411,0.109,0.891,0.0,@FoxNews,Mon Apr 09 02:36:47 +0000 2018,".@SarahPalinUSA: ""It's obvious why @TheDemocrats don't believe in securing the border. I think that they just fear… https://t.co/7XdAYQqXxe",20
0.3818,0.0,0.822,0.178,@FoxNews,Mon Apr 09 02:31:00 +0000 2018,'Citizens Have a Right to Protect Themselves': GA Sheriff Explains Viral Concealed-Carry Sign… https://t.co/e5UpJWvP0D,21
0.0,0.0,1.0,0.0,@FoxNews,Mon Apr 09 02:30:09 +0000 2018,".@SarahPalinUSA on ObamaCare: ""It's an atrocity."" https://t.co/3mo7MCnCsy",22
0.0,0.0,1.0,0.0,@FoxNews,Mon Apr 09 02:24:07 +0000 2018,".@SarahPalinUSA on omnibus bill: ""That's why people are so up in arms when it comes to the direction of our governm… https://t.co/C7ieLuxAyD",23
-0.7184,0.273,0.727,0.0,@FoxNews,Mon Apr 09 02:18:00 +0000 2018,".@TheRealJohnHCox: ""This criminal idea of the sanctuary state movement - the people are upset about this because it… https://t.co/b2c2Qbe23k",24
0.4404,0.0,0.847,0.153,@FoxNews,Mon Apr 09 02:17:55 +0000 2018,".@SarahPalinUSA: ""I'm privileged to have come into my own, politically speaking, during the Reagan years...so I kne… https://t.co/3bmCf7J2WI",25
0.0,0.0,1.0,0.0,@FoxNews,Mon Apr 09 02:11:29 +0000 2018,".@SarahPalinUSA on vice presidential run: ""I would do it again in a heartbeat."" https://t.co/mAlKDniX8a",26
-0.4767,0.22,0.78,0.0,@FoxNews,Mon Apr 09 02:08:47 +0000 2018,"BREAKING: Airstrikes hit Syria after deadly chemical attack, state TV reports https://t.co/YPf4Xv727K",27
0.0,0.0,1.0,0.0,@FoxNews,Mon Apr 09 02:05:47 +0000 2018,".@SarahPalinUSA on running for governor: ""We had a lot of corruption going on in our state, and people wanted it cl… https://t.co/WjKJ2iQjO6",28
-0.5994,0.244,0.655,0.102,@FoxNews,Mon Apr 09 02:00:31 +0000 2018,".@TomiLahren on China trade war fears: ""When the United States leads from the front, others come to the table. We'r… https://t.co/H8sT9qtstp",29
0.5267,0.0,0.841,0.159,@FoxNews,Mon Apr 09 02:00:00 +0000 2018,"RIGHT NOW on ""Life, Liberty, &amp; Levin,"" @SarahPalinUSA sits down with @marklevinshow to discuss the border. Tune in… https://t.co/H6cgmHCDGp",30
-0.6765,0.209,0.791,0.0,@FoxNews,Mon Apr 09 01:53:39 +0000 2018,OPINION: Divorce is an epidemic that causes as much pain as any disease -- so why don't we treat it that way? https://t.co/4hpTBLlxJ6,31
