Sentiment Compound Score,Sentiment Negative Score,Sentiment Neutral Score,Sentiment Positive Score,Source Account,Tweet Date,Tweet Text,Tweets Ago
-0.7906,0.368,0.632,0.0,@CNN,Mon Apr 09 04:00:19 +0000 2018,Son of former NHL player among those dead in Canadian bus crash https://t.co/SePZhXmO2i https://t.co/1HCmp80tnr,1
0.0,0.0,1.0,0.0,@CNN,Mon Apr 09 03:37:04 +0000 2018,"Deutsche Bank, Germany's biggest lender, is getting rid of its CEO after years of heavy losses.… https://t.co/0PftdZQyUV",2
0.5859,0.0,0.759,0.241,@CNN,Mon Apr 09 03:30:06 +0000 2018,16-year-old breaks Commonwealth Games record to win shooting gold for India https://t.co/YVodGmbBMz https://t.co/Z57prB4fri,3
-0.5719,0.236,0.764,0.0,@CNN,Mon Apr 09 03:13:55 +0000 2018,"""A Quiet Place"" leads box office as horror keeps making noise https://t.co/C5Oue5iE04 https://t.co/nCJFLfnSg1",4
0.0,0.0,1.0,0.0,@CNN,Mon Apr 09 03:00:19 +0000 2018,4 questions Congress must ask Facebook CEO Mark Zuckerberg https://t.co/ztOyDVSmee https://t.co/aT3O8TErH8,5
-0.7096,0.269,0.731,0.0,@CNN,Mon Apr 09 02:36:02 +0000 2018,"The US denied attacking a Syrian airfield on Sunday, hours after President Donald Trump tweeted ""Animal Assad"" woul… https://t.co/ypEAcGrkps",6
-0.5106,0.275,0.604,0.121,@CNN,Mon Apr 09 02:30:04 +0000 2018,"New York Times top editor on journalism's ""biggest crisis"" https://t.co/AUinjW6v54 https://t.co/jd7p1geqmx",7
0.0,0.0,1.0,0.0,@CNN,Mon Apr 09 02:17:59 +0000 2018,"""Black Panther"" passes ""Titanic"" at the box office https://t.co/njHZ5QuKql https://t.co/wnYV0zmxgi",8
-0.3818,0.178,0.822,0.0,@CNN,Mon Apr 09 02:05:04 +0000 2018,Here's everything you need to know about the US-China trade battle https://t.co/gJXyKfRohQ https://t.co/BP2MD4s8X0,9
0.0,0.0,1.0,0.0,@CNN,Mon Apr 09 01:57:03 +0000 2018,Designing for hedonists: The evolution of nightclub interiors https://t.co/WzAKmgoAGR via @CNNStyle https://t.co/c1JMgQI6b1,10
0.0,0.0,1.0,0.0,@CNN,Mon Apr 09 01:45:42 +0000 2018,"Stormy Daniels' attorney has once again filed a motion to depose President Donald Trump and his lawyer, Michael Coh… https://t.co/L3hMkc6fPH",11
