Source Account,Tweet Text,Tweet Date,Tweets Ago,Sentiment Compound Score,Sentiment Positive Score,Sentiment Negative Score,Sentiment Neutral Score
@BBC,"😺💦 This is Maya the jaguar's very first swim!  
#BigCatsAboutTheHouse https://t.co/IacZP3ltf3",Sun Apr 08 19:02:05 +0000 2018,1,0.0,0.0,0.0,1.0
@BBC,😂 Need a hand getting the kids to bed? https://t.co/JAUkyoVSA8,Sun Apr 08 18:03:03 +0000 2018,2,0.4939,0.314,0.0,0.686
@BBC,"'Silencing masks' and 'wife auctions': What life used to be like for women. 
👉 https://t.co/7Z1bcXKgOx https://t.co/gzm7Hf3loH",Sun Apr 08 17:25:08 +0000 2018,3,0.25,0.147,0.088,0.765
@BBC,"🦖😂 Philomena Cunk examines the barbaric conditions in which we keep today's dinosaurs.
#CunkOnBritain  https://t.co/nBav5dqh7a",Sun Apr 08 17:07:02 +0000 2018,4,0.0,0.0,0.0,1.0
@BBC,"RT @bbcgetinspired: Meet Sue...

She is planning to run the 2018 @LondonMarathon to prove someone with vascular dementia can do it. 🙌

➡ ht…",Sun Apr 08 16:40:55 +0000 2018,5,0.0,0.0,0.0,1.0
@BBC,🎨 Victoria Lomasko is a Russian graphic artist who's travelled up and down her country painting 'forgotten women'. https://t.co/XtlpBlAYb0,Sun Apr 08 16:07:03 +0000 2018,6,-0.2263,0.0,0.106,0.894
@BBC,"🎶 The search for the next Young Musician has begun, and the first @BBCYoungMus semi-finalist of 2018 has been confi… https://t.co/klUA4GWtb0",Sun Apr 08 15:31:00 +0000 2018,7,0.0,0.0,0.0,1.0
@BBC,"'If boys are getting diagnosed with autism, girls need exactly the same.' https://t.co/f7Aft0LWwB",Sun Apr 08 15:11:04 +0000 2018,8,0.0,0.0,0.0,1.0
@BBC,💃🕺 Meet the kids cutting some serious shapes on the streets of Lagos. https://t.co/3ySZPqua01,Sun Apr 08 13:54:07 +0000 2018,9,-0.2023,0.0,0.189,0.811
@BBC,"RT @BBCSport: What a nice surprise 😍💍

Two of @TeamEngland 's basketball players got engaged on court at the Commonwealths. 

Congrats @Jam…",Sun Apr 08 13:23:39 +0000 2018,10,0.875,0.393,0.0,0.607
@BBC,😂 'Surprise me'. https://t.co/Jo7illTafh,Sun Apr 08 13:03:04 +0000 2018,11,0.2732,0.512,0.0,0.488
@BBC,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/MGM0dpxlFH",Sun Apr 08 11:00:15 +0000 2018,12,-0.0772,0.0,0.064,0.936
@BBC,"RT @BBCSport: Beauty queen ✅
Commonwealth Games weightlifting silver medallist ✅

Introducing Sarah Davies...

#GC2018 #bbcgoldcoast https:…",Sun Apr 08 10:15:06 +0000 2018,13,0.5859,0.213,0.0,0.787
@BBC,"From Ordeal by Innocence to the return of The Handmaid’s Tale, here are @BBC_Culture's pick of programmes to watch… https://t.co/Q6S34uv5LX",Sun Apr 08 10:01:07 +0000 2018,14,0.3818,0.12,0.0,0.88
@BBC,"🦍💬 Not only can Koko the gorilla use sign language, she also appears to have learnt to lie...

https://t.co/xXZwlLDLJh",Sun Apr 08 09:08:02 +0000 2018,15,0.0,0.0,0.0,1.0
@BBC,RT @BBCOne: .@johnkrasinski's got MOVES. #TheGrahamNortonShow #TGNS https://t.co/2HUMM0ixEW,Sun Apr 08 08:17:18 +0000 2018,16,0.0,0.0,0.0,1.0
@BBC,"Football, volleyball AND martial arts? ️⚽️🥋🤔

Sepak Takraw is the best sport you've never heard of... 

https://t.co/ngTwJHEmrI",Sun Apr 08 08:08:07 +0000 2018,17,0.6369,0.208,0.0,0.792
@BBC,🐳 Meet the gargantuan air freighter that looks like a whale. https://t.co/7DPUt8okKU,Sun Apr 08 07:02:06 +0000 2018,18,0.3612,0.217,0.0,0.783
@BBC,❤️🎶 @NiallOfficial's Live Lounge cover of @JuliaMichaels' Issues is just perfect.  https://t.co/XpsnR29hPU,Sat Apr 07 18:00:22 +0000 2018,19,0.5719,0.252,0.0,0.748
@BBC,"RT @CBeebiesHQ: Goodnight @ChrisEvans,🌙 

Chris reads Goodnight Goodnight Construction site tonight. 🏗️ 

#BedtimeStory is at 6:50pm 😴💤 htt…",Sat Apr 07 17:19:26 +0000 2018,20,0.0,0.0,0.0,1.0
@BBC,🦁😢 Lions are often poisoned to prevent them attacking livestock. https://t.co/254nhtlMW5,Sat Apr 07 17:04:03 +0000 2018,21,-0.7269,0.072,0.405,0.523
@BBC,"😲 Some VERY impressive maths here. 
#UniversityChallenge https://t.co/crvQQ5V3Vn",Sat Apr 07 16:00:23 +0000 2018,22,0.6515,0.419,0.0,0.581
@BBC,Doctors are finding one way that sugar can benefit your health - it may help heal wounds resistant to antibiotics.… https://t.co/zI9pN0zSVo,Sat Apr 07 15:01:03 +0000 2018,23,0.6908,0.241,0.0,0.759
